Total Computing Time,Image preprecessing,Lane detection
0.269766331,0.207884312,0.061882019
0.267633438,0.20957613,0.058057308
0.264354944,0.207194328,0.057160616
0.263614655,0.205570459,0.058044195
0.268297672,0.20786643,0.060431242
0.266665697,0.210773706,0.055891991
0.277070284,0.204657555,0.072412729
0.273512602,0.214634657,0.058877945
0.267501116,0.210510254,0.056990862
0.265640736,0.207612038,0.058028698
0.281124115,0.222419024,0.058705091
0.271967173,0.210337162,0.061630011
0.273207188,0.212955952,0.060251236
0.266905308,0.20836997,0.058535337
0.264394999,0.205836296,0.058558702
0.272345066,0.21038866,0.061956406
0.269890308,0.209922552,0.059967756
0.273713827,0.212160587,0.06155324
0.265169382,0.205753803,0.059415579
0.268908739,0.210752964,0.058155775
0.267243862,0.206804514,0.060439348
0.267123699,0.205021381,0.062102318
0.27647686,0.213407516,0.063069344
0.275866747,0.213630676,0.062236071
0.261124849,0.204998493,0.056126356
0.263062,0.204978943,0.058083057
0.266478777,0.206816673,0.059662104
0.269841194,0.211076736,0.058764458
0.286816359,0.222964525,0.063851833
0.280465841,0.219276428,0.061189413
0.266992807,0.208111286,0.058881521
0.276587725,0.218374968,0.058212757
0.275042534,0.213078976,0.061963558
0.273800373,0.208597422,0.065202951
0.266257763,0.209391356,0.056866407
0.270290852,0.212343693,0.057947159
0.273802996,0.214530706,0.059272289
0.272975922,0.212814093,0.060161829
0.263095379,0.205100298,0.057995081
0.358644724,0.204344273,0.154300451
0.274446726,0.213200092,0.061246634
0.266973495,0.208995342,0.057978153
0.268538713,0.209242344,0.05929637
0.268744707,0.212636471,0.056108236
0.26936388,0.209850788,0.059513092
0.27375102,0.208903551,0.064847469
0.28686142,0.226010084,0.060851336
0.272292852,0.211152554,0.061140299
0.263887405,0.2038486,0.060038805
0.261018515,0.204931259,0.056087255
0.26173234,0.20393014,0.0578022
0.267436743,0.207511425,0.059925318
0.271695137,0.211661339,0.060033798
0.277016163,0.218345165,0.058670998
0.28570652,0.219393253,0.066313267
0.288606644,0.226371527,0.062235117
0.289890289,0.218340635,0.071549654
0.293149471,0.227138042,0.066011429
0.288801193,0.225028276,0.063772917
0.274257183,0.215255737,0.059001446
0.288096189,0.226082087,0.062014103
0.276456833,0.214687824,0.061769009
0.376885653,0.311308622,0.06557703
0.293823481,0.227606297,0.066217184
0.288142681,0.225123405,0.063019276
0.294774294,0.224912405,0.069861889
0.281348228,0.217777014,0.063571215
0.269040346,0.211959839,0.057080507
0.264718294,0.20608902,0.058629274
0.266370773,0.207179308,0.059191465
0.268116474,0.208991051,0.059125423
0.269827366,0.208589554,0.061237812
0.259446621,0.203660965,0.055785656
0.323765278,0.267715931,0.056049347
0.26475215,0.201528072,0.063224077
0.270730257,0.208662748,0.062067509
0.26013732,0.202564478,0.057572842
0.264447451,0.204493999,0.059953451
0.265393734,0.208508968,0.056884766
0.261972427,0.203516245,0.058456182
0.29211545,0.210115194,0.082000256
0.281930447,0.215847731,0.066082716
0.268896103,0.209261894,0.059634209
0.269472122,0.209557533,0.059914589
0.268405676,0.209921598,0.058484077
0.260495901,0.201606274,0.058889627
0.263586044,0.203371286,0.060214758
0.273380995,0.20965004,0.063730955
0.263788462,0.204823732,0.058964729
0.266320467,0.207345009,0.058975458
0.268543959,0.210043907,0.058500051
0.26704812,0.206070662,0.060977459
0.266481161,0.206119776,0.060361385
0.272430897,0.21359086,0.058840036
0.268378973,0.206968546,0.061410427
0.267148018,0.204902172,0.062245846
0.267028332,0.209397793,0.057630539
0.286231756,0.22599268,0.060239077
0.269166708,0.206600428,0.06256628
0.277553558,0.218291044,0.059262514
0.289818287,0.225852013,0.063966274
0.269925594,0.208082199,0.061843395
0.278239727,0.21732831,0.060911417
0.271576166,0.212978125,0.058598042
0.257758141,0.198731422,0.059026718
0.259043694,0.20138669,0.057657003
0.275492907,0.210031509,0.065461397
0.267856359,0.209050894,0.058805466
0.261048317,0.202395201,0.058653116
0.264701366,0.204824924,0.059876442
0.27393055,0.211742878,0.062187672
0.267915964,0.209980249,0.057935715
0.263330698,0.200767756,0.062562943
0.26134944,0.203447819,0.057901621
